311401000,"{27, 7}"
434000000,"{12, 46}"
443000000,"{11, 45}"
311401003,"{27, 7}"
344000002,"{2, 11, 45}"
434000002,"{12, 46}"
443000002,"{2, 11, 45}"
311401111,"{125, 30}"
111311401,"{27, 7}"
300311401,"{27, 7}"
311111401,"{121, 7}"
311411101,"{121, 27}"
311401030,"{126, 31}"
344000020,"{2, 11, 45}"
434000020,"{12, 46}"
443000020,"{2, 11, 45}"
311402110,"{123, 29}"
114114010,"{27, 7}"
303114010,"{27, 7}"
311401300,"{124, 28}"
344000200,"{2, 11, 45}"
434000200,"{12, 46}"
443000200,"{2, 11, 45}"
311412100,"{24, 118}"
142140100,"{27, 7}"
331140100,"{27, 7}"
404113000,"{19, 76}"
344002000,"{2, 11, 45}"
434002000,"{12, 46}"
443002000,"{2, 11, 45}"
314401000,"{27, 7}"
233401000,"{150, 7}"
422401000,"{27, 7}"
341401000,"{27, 7}"
333301000,"{27, 7}"
344101000,"{27, 150}"
344020000,"{2, 11, 45}"
434020000,"{12, 46}"
443020000,"{2, 11, 45}"
432400000,"{60, 63}"
