100000000,|⠒⠂⠂|⠂⠂⠂|⠂⠂⠂|
200000000,|⣂⠂⠂|⠂⠂⠂|⠂⠂⠂|
110000000,|⠂⠂⠊|⠂⠂⠂|⠂⠂⠂|
101000000,|⠂⠢⠂|⠂⠂⠂|⠂⠂⠂|
400000000,|⣒⠂⠂|⠂⠂⠂|⠂⠂⠂|
310000000,|⠂⠒⠊|⠂⠂⠂|⠂⠂⠂|
301000000,|⠂⠢⠒|⠂⠂⠂|⠂⠂⠂|
300100000,|⠂⠂⠂|⠒⠂⠂|⠂⠂⠂|
300010000,|⠂⠂⠂|⠂⠒⠂|⠂⠂⠂|
300001000,|⠂⠂⠂|⠂⠂⠒|⠂⠂⠂|
300000100,|⠂⠂⠂|⠂⠂⠂|⠒⠂⠂|
300000010,|⠂⠂⠂|⠂⠂⠂|⠂⠒⠂|
300000001,|⠂⠂⠂|⠂⠂⠂|⠂⠂⠒|
220000000,|⣂⣂⠂|⠂⠂⠂|⠂⠂⠂|
211000000,|⠓⠂⠂|⠊⠂⠂|⠂⠂⠂|
210100000,|⠂⠂⠢|⠂⠂⠂|⠂⠂⠂|
202000000,|⣂⠂⣂|⠂⠂⠂|⠂⠂⠂|
201100000,|⠂⠃⠂|⠂⠊⠂|⠂⠂⠂|
201010000,|⠂⠂⠂|⠢⠂⠂|⠂⠂⠂|
200200000,|⣂⠂⠂|⣂⠂⠂|⠂⠂⠂|
200110000,|⠂⠂⠃|⠂⠂⠊|⠂⠂⠂|
200101000,|⠂⠂⠂|⠂⠢⠂|⠂⠂⠂|
200020000,|⣂⠂⠂|⠂⣂⠂|⠂⠂⠂|
200011000,|⠂⠂⠂|⠃⠂⠂|⠊⠂⠂|
200010100,|⠂⠂⠂|⠂⠂⠢|⠂⠂⠂|
200002000,|⣂⠂⠂|⠂⠂⣂|⠂⠂⠂|
200001100,|⠂⠂⠂|⠂⠃⠂|⠂⠊⠂|
200001010,|⠂⠂⠂|⠂⠂⠂|⠢⠂⠂|
200000200,|⣂⠂⠂|⠂⠂⠂|⣂⠂⠂|
200000110,|⠂⠂⠂|⠂⠂⠃|⠂⠂⠊|
200000101,|⠂⠂⠂|⠂⠂⠂|⠂⠢⠂|
200000020,|⣂⠂⠂|⠂⠂⠂|⠂⣂⠂|
